"Orange","Garmiani",,,,,,,,,,,,,,,,,,,,
"Yellow","Austin Basham",,,,,,,,,,,,,,,,,,,,
"Green","Juelz Santana","Joe","Korn","The Offspring","Randy Houser","The Doobie Brothers","Dierks Bentley","Megadeth","Cream","Creedence Clearwater Revival",,,,,,,,,,,
"Blue","Logic","Tinashe","Clean Bandit","Eric Church","J Balvin","Danny Ocean","Fifth Harmony","Camila Cabello","Jennifer Lopez","Fear Factory","Ed Sheeran","Nirvana","Selena Gomez & The Scene","Patti LaBelle","Lil Pump",,,,,,
"Purple","Run�D.M.C.","Shigeto",,,,,,,,,,,,,,,,,,,
"Pink","Yelena Eckemoff","Scott Hamilton","Devendra Banhart","Romy",,,,,,,,,,,,,,,,,
"Brown","Minnie Riperton","Bacilos","Ella Vos","Jocelyn Brown","Lit","The Doors","Korn","J. Roddy Walston & The Business","Thomas Rhett","Pearl Jam","Tory Lanez","Jimi Hendrix","Nick Mulvey","Dolly Parton","Rihanna","Vince Gill","Jimi Hendrix","Benny Goodman","Beastie Boys","Luke Bryan","Ram Jam"
"Black","KARD","Kamaiyah","EXO","Reykon","Guns N' Roses","System Of A Down","Alice Cooper","Coldplay","Crazy Town","Testament","Volbeat","Franz Ferdinand","Cold War Kids","A Perfect Circle","Randy Crawford","Boston","Fran�ois Couperin","Ludwig van Beethoven","Stevie Nicks","All That Remains","Fall Out Boy"
"White","IU","Golden Earring","WINNER","Chino & Nacho","Pink Floyd","Jet","Franz Joseph Haydn","The Head and the Heart","Julia Michaels","St Germain",,,,,,,,,,,
"Beige","Kash Doll","Jesse & Joy","Shakira","The Mamas & The Papas","Derek & The Dominos","The Rolling Stones",,,,,,,,,,,,,,,
"Gray","SEVENTEEN","DJ Snake","SEVENTEEN","Skooly","Red 5","DeJ Loaf","Meli'sa Morgan","The Rolling Stones","GOT7","The 1975","The Revivalists","Philip Glass","The Staple Singers","J Balvin","UB40","First Aid Kit","J Balvin","Hailee Steinfeld","Judas Priest","Brett Eldredge","Vashti Bunyan"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"121-140",,,,,,,,,,,,,,,,,,,,
"Red","The Cinematic Orchestra","The White Stripes","David Guetta","Kehlani","Seth Avett & Jessica Lea Mayfield","Good Advice","Sunparlour Players","Dan Cray Trio",,,,,,,,,,,,,
"Orange","Axwell /\ Ingrosso","Sam Feldt","Various Artists","Galantis","Gustav Holst","Wild Rivers",,,,,,,,,,,,,,,
"Yellow","Haley Heynderickx","Marshmello","Benny Benassi","Otesla","Michael Finnissy",,,,,,,,,,,,,,,,
"Green","Anti-Flag","OneRepublic","Shawn Mendes","Johann Pachelbel","Weezer","Matisse & Sadko","Jhene Aiko","Klymaxx","R3HAB","Fossil Collective","Cole Swindell",,,,,,,,,,
"Blue","Richard Thompson","Weezer","The Beatles","The Smashing Pumpkins","The Who","System Of A Down","AC/DC","EXO","Fedde Le Grand","Axwell","IZECOLD","Martin Garrix","Metallica",,,,,,,,
"Purple","Mark Knight","Various Artists","BLACKPINK","Daddy Yankee","Franz Schubert","Electric Wire","Nicki Minaj","The Greg Foat Group","TWICE","Beegie Adair","Alex Tronic","Jarryd James",,,,,,,,,
"Pink","BLACKPINK","Nicki Minaj","Wanna One","TWICE","Drake","Karol G","The Harmaleighs","Miley Cyrus",,,,,,,,,,,,,
"Brown","Fats Domino","Paulina Rubio","Royal Blood","Romeo Santos","David Bowie","Morgan Page","Vance Joy","The Rolling Stones","Little Texas","Blur","Frank Ocean","Michael Bubl�","Mel Tillis","Ferry Corsten","J.J. Fad","Pablo Moses","Stone Temple Pilots","Eric Bellinger","Jo Dee Messina","Modest Mussorgsky",
"Black","Metallica","Guns N' Roses","The Shapeshifters","Calvin Harris","Pink Floyd","Lil Wayne","Wisin","Rammstein","ZZ Top","Brooks & Dunn","T. Rex","Tom Hangs","Late Night Alumni","Avicii","Flo Rida","AC/DC","Sunfreakz","deadmau5","Kaskade","Hardwell","Jeremih"
"White","The Marvelettes","John Adams","Kaskade","The Black Keys","Bob Marley & The Wailers","The Kinks","Nicki Minaj",,,,,,,,,,,,,,
"Beige","Tim Buckley","Toni Braxton","The Chainsmokers","Alien Ant Farm","WALK THE MOON","Martha Reeves & The Vandellas","A$AP Ferg","Alborosie",,,,,,,,,,,,,
"Gray","Red 5","Eric Church","U2","Jim Jones","Donna Summer","Alice Babs","Lynyrd Skynyrd","George Strait","Jason Aldean","Billy Ray Cyrus","Super Junior","Kenny Chesney","Charles Ives","Bon Jovi","Romeo Santos","Brothers Osborne","Guns N' Roses","Mel Tillis","AJR","Tim McGraw","Pitbull"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"141-160",,,,,,,,,,,,,,,,,,,,
"Red","Cascada","Kanye West","Monsta X","SG Lewis",,,,,,,,,,,,,,,,,
"Orange","Groove Collective","joeshort","Iron & Wine","The Struts",,,,,,,,,,,,,,,,,
"Yellow","Axian",,,,,,,,,,,,,,,,,,,,
"Green","Ra Ra Raj","Daryle Singletary","Five Finger Death Punch","Post Malone",,,,,,,,,,,,,,,,,
"Blue","Kelly Rowland","The Killers","John Paul White","San Holo","Mary J. Blige","Dreezy","AWOLNATION","Parker",,,,,,,,,,,,,
"Purple","Red Hot Chili Peppers","Various Artists",,,,,,,,,,,,,,,,,,,
"Pink","Cbakl",,,,,,,,,,,,,,,,,,,,
"Brown","Kari Faux","Post Malone","Post Malone","Harvey Danger","Steppenwolf","Family and Friends","Astor Piazzolla","Yo Gotti","Future","Van Morrison","Dio","The Offspring","The Romantics",,,,,,,,
"Black","Beyonc�","Metallica","Welshly Arms","Migos","Chris Brown","Eagles","Slipknot","G Herbo","Cam�ron","KISS","Alborosie","Tash SulBeigea","Macklemore & Ryan Lewis",,,,,,,,
"White","Coldplay","The Band","EXO","Dire Straits","Katy Perry","Fleetwood Mac","Kings of Leon","Arvo P�rt",,,,,,,,,,,,,
"Beige","Billie Eilish","Cage The Elephant",,,,,,,,,,,,,,,,,,,
"Gray","Dreezy","Shy Glizzy","Blue �yster Cult","John Holt","Buddy Rich","Ricky Martin","Marshmello","Marshmello","Trivium","Barry Manilow","Marilyn Manson","Alpha Blondy","Eric Church",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"161-180",,,,,,,,,,,,,,,,,,,,
"Red","Queens of the Stone Age","Brous One",,,,,,,,,,,,,,,,,,,
"Orange","Xploding Plastix","Joe Corfield",,,,,,,,,,,,,,,,,,,
"Yellow","Skalpel",,,,,,,,,,,,,,,,,,,,
"Green","Playboi Carti","Young M.A","Nils Petter Molv�r","De La Ghetto","Deniece Williams","Toots & The Maytals","Chely Wright",,,,,,,,,,,,,,
"Blue","Yellow Claw","Led Zeppelin","David Nail","The Killers","Sufjan Stevens","Troye Sivan","J Balvin","Missy Elliott",,,,,,,,,,,,,
"Purple","Whitney Rose","Mujo",,,,,,,,,,,,,,,,,,,
"Pink","Rico Nasty","emune","Dori Freeman",,,,,,,,,,,,,,,,,,
"Brown","Rage Against The Machine","Natalia Lafourcade","Inner Circle","Mark Chesnutt","Green Day","Kip Moore","Bush",,,,,,,,,,,,,,
"Black","Ann Peebles","Black Sabbath","Black Sabbath","Ramones","Judas Priest","Def Leppard","Killswitch Engage","Lauv","Romeo Santos","Nicky Jam",,,,,,,,,,,
"White","Ozuna","Etta James","Oasis",,,,,,,,,,,,,,,,,,
"Beige","Big Brother & The Holding Company","Carlos Vives",,,,,,,,,,,,,,,,,,,
"Gray","Canaan Smith","Aerosmith","Patty Loveless","A Boogie Wit da Hoodie","Jimmy Eat World","Iron Maiden","The Marshall Tucker Band","Dixie Chicks","Amon Amarth","The Beatles","Far East Movement","Wolfmother","Camila Cabello","Beastie Boys","Anuel Aa","Antonio Vivaldi","WALK THE MOON","Piso 21","Taylor Swift","Claudio Monteverdi","Barrington Levy"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"181-200",,,,,,,,,,,,,,,,,,,,
"Red","Hal Ketchum","Various Artists",,,,,,,,,,,,,,,,,,,
"Orange","Simon Jefferis",,,,,,,,,,,,,,,,,,,,
"Yellow","Karen Dalton",,,,,,,,,,,,,,,,,,,,
"Green","Hozier","Don Omar","Stephen Marley",,,,,,,,,,,,,,,,,,
