,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Country,,,,,,,,,,,,,,,,,,,,,
Red,"Rick Trevino","Hal Ketchum",,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,
Green,"Diamond Rio","Randy Houser","Dierks Bentley","Cole Swindell","Daryle Singletary","Chely Wright",,,,,,,,,,,,,,,,
Blue,"Eric Church","David Nail",,,,,,,,,,,,,,,,,,,,
Purple,,,,,,,,,,,,,,,,,,,,,,
Pink,,,,,,,,,,,,,,,,,,,,,,
Brown,"Thomas Rhett","Dolly Parton","Vince Gill","Luke Bryan","Little Texas","Mel Tillis","Jo Dee Messina","Mark Chesnutt","Kip Moore",,,,,,,,,,,,,
Black,"Brooks & Dunn","Luke Bryan","Shania Twain",,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,,,,,,,,
Beige,,,,,,,,,,,,,,,,,,,,,,
Gray,"Grayson Capps","Dustin Lynch","Aaron Tippin","Dustin Lynch","Rodney Atkins","Dolly Parton","Randy Travis","Old Dominion","Joe Nichols","Townes Van Zandt","Brett Eldredge","Luke Bryan","Chris Young","Luke Bryan","Travis Tritt","John Michael Montgomery","Toby Keith","Eric Church","George Strait","Jason Aldean","Billy Ray Cyrus",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Classical,,,,,,,,,,,,,,,,,,,,,
Red,"Johann Sebastian Bach","Erik Satie",,,,,,,,,,,,,,,,,,,,
Orange,"Bed_ich Smetana","Gustav Holst",,,,,,,,,,,,,,,,,,,,
Yellow,"Jean Sibelius","Michael Finnissy",,,,,,,,,,,,,,,,,,,,
Green,"Johann Pachelbel",,,,,,,,,,,,,,,,,,,,,
Blue,,,,,,,,,,,,,,,,,,,,,,
Purple,"Ursula Oppens","Franz Schubert",,,,,,,,,,,,,,,,,,,,
Pink,"Jean Sibelius",,,,,,,,,,,,,,,,,,,,,
Brown,"George Gershwin","Camille Saint-Sa�ns","Alexander Borodin","Modest Mussorgsky","Astor Piazzolla",,,,,,,,,,,,,,,,,
Black,"Gustav Mahler","Johann Sebastian Bach","Fran�ois Couperin","Ludwig van Beethoven","Isaac Alb�niz",,,,,,,,,,,,,,,,,
White,"Franz Liszt","Ralph Vaughan Williams","Arvo P�rt","B�la Bart�k","Franz Joseph Haydn","John Adams","Arvo P�rt",,,,,,,,,,,,,,,
Beige,"Aaron Copland","Gioachino Rossini",,,,,,,,,,,,,,,,,,,,
