,Spring,,,,,,,,,,,,,,,,,,,,,,
White,"https://i.scdn.co/image/9855bf24e170909378de30005695126d7ed8fd24","https://i.scdn.co/image/5038d0c1bdccba3af975d44f76c13582479b3cf8","https://i.scdn.co/image/08038c1b5a926d11800d007dfb726418b5ba0dfb","https://i.scdn.co/image/deee172efd0ad5f93e3b853730e5d186f2d03c41","https://i.scdn.co/image/f073db141df494b824a7ef5f3ebd2a653be78992","https://i.scdn.co/image/edcc53317411b5e025e920857fb0f871c4087ce9","https://i.scdn.co/image/cc39d0592479a802cc3b61b4a26b9349bba0a445","https://i.scdn.co/image/480048f32e1d99d4cdd1833f162b284514734f72","https://i.scdn.co/image/9f4f56926ab1d9377f7248b0800bf274ef7d7ad2","https://i.scdn.co/image/38ba25ed8579bfe9dd253f40fcffb52338d86115","https://i.scdn.co/image/33080534f9716c159af3cc491162a3e8745e6d84","https://i.scdn.co/image/64a6c0e2f432a35930ce9c3a6d78859938202cb9",,,,,,,,,,,
Beige,"https://i.scdn.co/image/885b16970533511d3067f40de5332bb17552302d","https://i.scdn.co/image/df6d664c56fc929d07b9e0e60d83319d26dc82f0","https://i.scdn.co/image/dfc33b5bf07955cd5a21fd651bc13fc5cbef3133","https://i.scdn.co/image/7587959b71e16f93fe668464ecdd4dd0c7aa9923","https://i.scdn.co/image/03aba72d44d250281b7423f81b4cfac97baf5679","https://i.scdn.co/image/3bf4181e5b2f4b3728fa39e502310bf074a34cfa","https://i.scdn.co/image/70149c6e3d436c62c97970f0c41f89012a718e58","https://i.scdn.co/image/dcf90c219dd0587742f61ff57f344201c3ed6b8e",,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/8c14918b5e64b03740a0a8e88bb7fcfe99b8407f","https://i.scdn.co/image/44862ca4966fdf3cb862fdc697f5b5a98f763a9b","https://i.scdn.co/image/417c0e9547a25764613b151f57422d76fca63bce","https://i.scdn.co/image/b12694544931e1542ebfb923a1739669e82eae79","https://i.scdn.co/image/f2f50548ed0dbe032c4fdf13b51df672c8e26b94","https://i.scdn.co/image/58e8e039e3fda9297f52096c561e68f54fd1caf2","https://i.scdn.co/image/2e441ae8f2ba07d3545d263094512bd157c2c63e","https://i.scdn.co/image/e9e5d1bcff10f52857a30cb15f1f6595700232f4","https://i.scdn.co/image/c25c00b1924f3cc303377224a8a22aa46e7bfadc","https://i.scdn.co/image/b52c814ec03977643ecbb8f47a96e5705fed8d83","https://i.scdn.co/image/684896f889df80e20be26cf31832312cd3b9e08b","https://i.scdn.co/image/3b4b6c358ca5d3c362380fd7a78207a2c693ec29","https://i.scdn.co/image/062ebb6ed8e5013e088c04e081a75dfdf7c6cbc9","https://i.scdn.co/image/82a524741433e305f57cc8a69b824689bff536ad","https://i.scdn.co/image/794277848c453905c713bd5bbc7cf00e432aad28","https://i.scdn.co/image/df3b17e748de56e4ce78ac29b216d3f99afd0c5a","https://i.scdn.co/image/cfd0473f2006af6fc40a0c36bb975388d2788c44","https://i.scdn.co/image/e73c706e842eb5233eab7afd3404218a2696d568","https://i.scdn.co/image/919ed90849714dbcc5d77738159a0ae25e10984e","https://i.scdn.co/image/51a14afa5f6c046d2776d75152fb8e95958a7b7d","https://i.scdn.co/image/e41240fde893cac0927cc11ab4457979664c0bbc",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Summer,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/477acc203e319e8a5b205ab85ba8e066d5fdb051","https://i.scdn.co/image/91a80095d0d7b3dded2acdad3ab27ee363643541","https://i.scdn.co/image/81097fadc548f0650a8b79b728326b5d6c8e18a2","https://i.scdn.co/image/62898f761269ebc6928023c2f7f333c415c82ec7","https://i.scdn.co/image/e1404c0c6126f62ae724dfa5d271d21feb624cbc","https://i.scdn.co/image/c12d52e64c588a599cd2700822add0ae5a629d0e","https://i.scdn.co/image/bdf096a7ffc6c2fa051adecf704b5695d316471a","https://i.scdn.co/image/704421e3908d42ef6a6d105bf1a6c9f43a06e3cd","https://i.scdn.co/image/2af69d6fcc191e4489ed3ae283ee1d8995f1c251","https://i.scdn.co/image/60e50167fcd6e9fb9b39683aef2a95283e91718d","https://i.scdn.co/image/ce2399f9d2078083c796baec06a4c8946104b2bf",,,,,,,,,,,,
Orange,"https://i.scdn.co/image/de3876cb74e240a15451e172c856f1162ac4d65e","https://i.scdn.co/image/4eefff66a6aa0394dc8a795a9b32e48f48a04a07","https://i.scdn.co/image/f3c1fcd960584789b778217aaab70a9b31c77435","https://i.scdn.co/image/adc375cf42a951982d3b07d89dadb81b10658588","https://i.scdn.co/image/8508e2e121940cf702db84847fc9af8df1e9a62b","https://i.scdn.co/image/137924a5aae930cf1baae2790deacc36dca8225d","https://i.scdn.co/image/b7bde2a4f65587cd8855187d5f2fdf3f4536f444","https://i.scdn.co/image/34d4b488b75cc8a84326824df279bbeaddf43ae8","https://i.scdn.co/image/e42f5eda6148b5a174031c23dd5741d3e82336c4",,,,,,,,,,,,,,
Yellow,"https://i.scdn.co/image/b52c36c904d9fad5cd64f2d010a07a840678edf3","https://i.scdn.co/image/eab6002a9adc491deebcdd952c28be534de4960b","https://i.scdn.co/image/fef50c0cb8af253a05c6e05b707a4f47c142d3d4",,,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/f7ccf14994837cad595dc14a8d8b29ae4c5d60b3","https://i.scdn.co/image/67a7cb0a8d42ec3be3211081827567f358259fc2","https://i.scdn.co/image/972ec426477769d0cb5f442c0fa8aaacea11e6a5","https://i.scdn.co/image/3f8668b7088547d526e23e507e24b00a10e0a6f4","https://i.scdn.co/image/807a6beda216f72e96e91e25fe248a8e0687bf73","https://i.scdn.co/image/e332f9b003d71ade5f2b2ebdc0e39bf9647a84a2","https://i.scdn.co/image/c26ce66ab4d6fd71658189d0bafeb473234a0f63","https://i.scdn.co/image/9b0ebed40344b2b37fb644b57411a422f30693d0","https://i.scdn.co/image/11f1844767f7268975ec0640b0f895ce325ac38e","https://i.scdn.co/image/eb07b4b2da057f84361a2e073dd9cc9cc243c273","https://i.scdn.co/image/94981cf65be71ba46531b4e0ff93da5e7b8dc45f","https://i.scdn.co/image/be48b9d2a214ba1ec403ce2cd65bd21ab4bedd22","https://i.scdn.co/image/287be72c066155aef916069cadf054fc9bf0a882",,,,,,,,,,
Blue,"https://i.scdn.co/image/876dff42d861f2403b6bf6338bde53c2868479e8","https://i.scdn.co/image/95643469571d5490425154ca33c1550ac3fb9695","https://i.scdn.co/image/4f209f5fa9d4ee65215f0dcc5fb513a4119cef10","https://i.scdn.co/image/218dd38dd598eec39f7ce7d5ca024f1bbcaa8a4e","https://i.scdn.co/image/177be761c3d63fd28990ba04e7693884a4ef5dc4","https://i.scdn.co/image/96b6334c65b36862cf0878dd9b44612248225626","https://i.scdn.co/image/315d11e46a2e9190e16e2e33e24020bdbf5f7958","https://i.scdn.co/image/932e185b217606caa34b837dbe30d54028de9cfc","https://i.scdn.co/image/5a45a07b590dca866dc9df8702575215f4321b38","https://i.scdn.co/image/a1a2e08be66df92c75e46ad8330c9d4937bff209","https://i.scdn.co/image/1e886ca74a1dc17b9a226283b9cc4b765ee25cb8","https://i.scdn.co/image/ae33d84ad5b1b47f5c7b73c63ca0f1fd4d131b84","https://i.scdn.co/image/137924a5aae930cf1baae2790deacc36dca8225d","https://i.scdn.co/image/06c7ba9e48b9bee598200277040eb7abaed0b3c3","https://i.scdn.co/image/2393cb0053104c3e16f2d1da586d19492240fe0b","https://i.scdn.co/image/49d01f27dcf8f6bec2ba4f16038bd22e309ae2d0","https://i.scdn.co/image/ff61c019f44bfee06d8e9aa1816238014d33037c",,,,,,
Purple,"https://i.scdn.co/image/62445185cfdb6105cb9e65e495539f1bb364d3cf","https://i.scdn.co/image/37469fc44e4885f1a0eff06c6ca458d007ae1bdc","https://i.scdn.co/image/9c75c67fde68fabbd433749f8f1cd07b8c49ed11","https://i.scdn.co/image/591cbfa21a3bdae3ba76cc108cef2ac14f8bcb8b","https://i.scdn.co/image/a0133654d6a44cbaf62f4384725107394462c3ad","https://i.scdn.co/image/5e553d65e84fde60e3293ce2138a52e5f5b3ec10",,,,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/07b676744d50ad3b59e55e744c124765eb769056","https://i.scdn.co/image/8b596d4fac40d882b39ad27e14cc989889a897d4","https://i.scdn.co/image/caf6e54057641a30ce410f8894896050c57d017d","https://i.scdn.co/image/119a66360da4b3f446d709b19b4a91b319daaebc","https://i.scdn.co/image/042e8fabd461269d18994088be3ebc2fee7e2cee","https://i.scdn.co/image/0cf194beeb8118bcb0d492e1fdd010798dbc3a20","https://i.scdn.co/image/3d05419dbd1d6999a4e067c86450dbf26e40f812",,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/ad7c1cea64db1e1d497f6577b1597bcb1f994777","https://i.scdn.co/image/65e3d6d8d73e98bec7a3085e611b5e33c8fe5224","https://i.scdn.co/image/d433e8c739695f88784b9e36912b305ceca5076a","https://i.scdn.co/image/b28354990303194cae0d3f0d21211711ff374bbb","https://i.scdn.co/image/25e2b6f33844c92542321bb5c234e801c408beb8","https://i.scdn.co/image/5bda0fc91fbc18a112278a3458ed3a9c6334af88","https://i.scdn.co/image/07b676744d50ad3b59e55e744c124765eb769056","https://i.scdn.co/image/cc7c7708444f17c09bddacedd0c230fd3e52e196","https://i.scdn.co/image/e03c51aa81a9efcd1c1dc9513f45180e28829734","https://i.scdn.co/image/2703f2840020762c1169c1b231632069a3024423","https://i.scdn.co/image/dac313078f7194d5573422bc92a18cecb0a23043","https://i.scdn.co/image/425e1fef6d70a48a103dfd168a556b7f72f72865","https://i.scdn.co/image/fab9fb1421e38019957ea78a3ae7e46dbe42da49","https://i.scdn.co/image/cf4e1b21494f0d6b6c655cfd8b060f6c9e1d6c54","https://i.scdn.co/image/28e8a93b3b7993de833d2263400172af39d77c52","https://i.scdn.co/image/9ccf4a8669fcd328d7288d4232518cf0cc0747f8","https://i.scdn.co/image/e7803d97d7e309b2882f7311729643e0cdd5af4f","https://i.scdn.co/image/b88816a7bcea0f4b509ec57e298de88478521da5","https://i.scdn.co/image/ebbcc32903da51b47631a171bd5c18f763116284","https://i.scdn.co/image/a809b53f724dab8416e399bda6c0fc2a16ab75ed","https://i.scdn.co/image/44797cac48a2451d172837bb53e4477eab7710ec",,
Black,"https://i.scdn.co/image/b3b97a6eef240a7b2214eff1a83901bd6e31f839","https://i.scdn.co/image/28e112fd953bc355b4a364213ab1aae600dc248a","https://i.scdn.co/image/2bc742038755e7ebb305689b0c7b0ef15503a27f","https://i.scdn.co/image/225d4551ebc93b56b897b75c695b39ac61c4401c","https://i.scdn.co/image/9cdff92f505db96eaad31ddb055977a118cac6db","https://i.scdn.co/image/9e6d6908d0bffe5d6d58748d453f9f2e6181c2d1","https://i.scdn.co/image/071c7f412110d8754756e1833d978e5099a42648","https://i.scdn.co/image/f6ad32a19fa656ac94213e258cdab2ee1eb042ea","https://i.scdn.co/image/6af5ce94627ad636d5d41b5206d527a13347dac7","https://i.scdn.co/image/200c574b96d791d66064fc85d214db50c345a264","https://i.scdn.co/image/8cb8c9552c65730a15302d7b74d38cbc14f6d7fb","https://i.scdn.co/image/0407568bb7145bba92427574d65a25430119210f","https://i.scdn.co/image/98ae5260657d85788a079c68dcc4aa0ff698c61e","https://i.scdn.co/image/36189874a70a9339e0459dd853fc80c5d8a2f12b","https://i.scdn.co/image/886c0fe47aac8e31bcab118a182638e254372389","https://i.scdn.co/image/1786ca5b511633d9e4ca5b6b49686a6d37b4d707","https://i.scdn.co/image/5515df20c6ead399b0ef14169679e40b6ed7dbd7","https://i.scdn.co/image/0fbe3c2ba5d231d626a60976b7f03d21526376f5","https://i.scdn.co/image/371d799ebaec660045c9397a530d053557dbd7e7","https://i.scdn.co/image/e52b7aa534088442e0ed2d58f2771d541d7e04cb","https://i.scdn.co/image/52d83377fe9d7fc838deeb859499f3973adf903f",,
White,"https://i.scdn.co/image/50aa1c2e65bec0c5f7e54a64f39eee4cc59549d5","https://i.scdn.co/image/561cd6ef162eb9c6d82ef3a4764e1da2105b1ed0","https://i.scdn.co/image/7ec6459dc45401a53df009d52143e29277c5278e","https://i.scdn.co/image/20c64440f363e41319626fc383c06dab38843c00","https://i.scdn.co/image/f471f206761429e9150c06a9f1927516e41e855e","https://i.scdn.co/image/70d8660d8b802835a280ce75799d30db262f7094","https://i.scdn.co/image/22f896de1f5d43ee19b339f263c2d02c7b53e182","https://i.scdn.co/image/e20bed05bb268bf50f5be4c19ef245cc6131826c","https://i.scdn.co/image/be41af2ac36aeb3f8019d06971e486a932159726",,,,,,,,,,,,,,
