,Spring,,,,,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/3a9694930e367236d22dc3059cd81df08a767769","https://i.scdn.co/image/5a6ffa8082d067fa48ed5dbe4c4c528b9bb0a76a","https://i.scdn.co/image/c810edae4eccafd84aa73244b6bcd30f1c8dfa6f","https://i.scdn.co/image/52c4b2e93f533056a878fede107de09945fa18bf","https://i.scdn.co/image/a22479b5fb33a31bcbdf191964fdf615be7f38a9","https://i.scdn.co/image/e2c06912b888992152b0355f860624e5f3b89a5f","https://i.scdn.co/image/d2d54491bfc7ba9b9ed2f945b06a2e4b7cb516c1","https://i.scdn.co/image/c3216aca24876a4095338629315e634b3c05d0e7","https://i.scdn.co/image/58fd4ec397fb8d5ebd20eb99250a8d912a2fd65a","https://i.scdn.co/image/fadc73a93cfeafefbc0f11cffbaeec985848685b","https://i.scdn.co/image/294c658bb11f3208c43009189604fce1db423b35","https://i.scdn.co/image/f1ad4a50d8fd52f19b1f36b5a632c10fe23640c6","https://i.scdn.co/image/a09de4ae3ad26e860a08f1034ed0a3bdfa10a156","https://i.scdn.co/image/e9025240ef21cb3d3f4bfdc0b4738cc4cbcf3138","https://i.scdn.co/image/54ae81bff27a1979815d40846c763431d872b680","https://i.scdn.co/image/42e2138c3b100306ac07dd386f6e5301f61ad506",,,,,,,
Blue,"https://i.scdn.co/image/fa314ab8d2d422f1c81941a4a8c5db281018b784","https://i.scdn.co/image/1cd75171d6593fc4d9b59fdcfeb2d0577d660649","https://i.scdn.co/image/1870e3c0e5abc4a58cfbfb8aeaf3b6a57b88eb87","https://i.scdn.co/image/6538912b146e0dd3a4d981801cc89216f1480648","https://i.scdn.co/image/d4e1e2ea4e73c381035f7770ed318824b9d2df14","https://i.scdn.co/image/a046a478200e74c4f4696a3c0d4b3a0a93f8cdd2","https://i.scdn.co/image/bd5229f938b3ca00bb1821ecb415acb991929810","https://i.scdn.co/image/f4827b927ab977c63642a21b510a2c4793b14d91","https://i.scdn.co/image/7429b64ba636934d53763b9076492b551b240003","https://i.scdn.co/image/59ba8b75dff51cf309f0c786fc6b7ada72cc7cca","https://i.scdn.co/image/52b8f5143396bb96c5e801b2c05f7dd51acafb5e","https://i.scdn.co/image/67675278b93de8cf96aabe54ffcbe8d020b05acd","https://i.scdn.co/image/a59a82fe436a504a263646aac1e7bf5609f42722","https://i.scdn.co/image/fecfe12bfd4a6f730f18d83a9a08ed45e2adddbf","https://i.scdn.co/image/1b7e26ff724d2472bafdfca7c5ae8eeed5325de5","https://i.scdn.co/image/2027dbfec96249cdc12ff804738898afce24a7a5",,,,,,,
Purple,"https://i.scdn.co/image/cd1a73570312db0977070c13952b001a7f9dc6d4","https://i.scdn.co/image/de4f14f40d4244c9b54d42ca364bc79c6ee55c9b","https://i.scdn.co/image/37d73eafd9c2a8e1b7e19806786513abe10eb6fb","https://i.scdn.co/image/5fde53b334bd0c9f5d731d30d3ed72bc986cd71d","https://i.scdn.co/image/d5990941897003cb375c8929f8cdf704434d82d0","https://i.scdn.co/image/bfe3e58f2f6c440dfab15937f4af2e3202a2a5af","https://i.scdn.co/image/bcea86e33154a3b1f3bb3b5f097cb6db8f227503","https://i.scdn.co/image/0894f60c188f5de9167092438fbbbdcc1f7bc6c4","https://i.scdn.co/image/1109a20e0571e77d029967e5c28f7b93b8f3db44","https://i.scdn.co/image/d9b8a8e22411f75de14ec97d15e616df74d76d14",,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/a72c8dadc57bea56d4e6c7ead0afd62fc1769f86","https://i.scdn.co/image/6551b45b4e5a692f61cd42357e7f9b08753430f9","https://i.scdn.co/image/8739c3c7f3bf8bc2d721f82197d991b37cf83622","https://i.scdn.co/image/58a6515470522f906bf4490e3cf06a67c948afd5","https://i.scdn.co/image/0b87c182a97b6dbba6ffc447d687701f6f8eb37a","https://i.scdn.co/image/c37a24be6d49db3dcb3eaaeaa3760ae378965dc3","https://i.scdn.co/image/abead3a0660539a884365eaa08ec1125228e63aa",,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/c1198389b8aa0fa3ff453e4c7bdc2b1665e70386","https://i.scdn.co/image/0646c58797b2cbdd5e4d0740a600ebbf3757c9fa","https://i.scdn.co/image/861dd5ecd63546ef0b5ea09c7af8f2a8aecf4dc4","https://i.scdn.co/image/f1c71e5d6cfd7b1f447c0207d75cbe18a64557c4","https://i.scdn.co/image/da9e5983ce891e06a85905289742f14eb193a681","https://i.scdn.co/image/95ecc317bd38f4cfe53baac9fc4a42e22b0d7f55","https://i.scdn.co/image/15651a052cd8ecdebeb11ca725bf4b9e812db9a1","https://i.scdn.co/image/a1fa7f590996868ebd1248aab3233e793db22fd7","https://i.scdn.co/image/45e801a7acd2639a9931f4412ff71eabee35114f","https://i.scdn.co/image/32e04f1d7399703e8344fd21cf5b570140948b0a","https://i.scdn.co/image/65a37481e9d57043f6dec0d2f09cdebbe2c48570","https://i.scdn.co/image/bf44daf8c3f35de83e5875bc49791c1347ef36f0","https://i.scdn.co/image/cc50d666b08d7a46b229fe8cbe345eea29e99d3f","https://i.scdn.co/image/200552fdf350c8d8e007a1fb53dc2f5e6d3df53d","https://i.scdn.co/image/15e910aef6b096fc472c3b98ded355752f77a44a","https://i.scdn.co/image/ff71d87f1851d43bac44a37da93bcb2a21a7c103","https://i.scdn.co/image/edbe4cd91b8c52f0448406772fb6113a69c7ab07","https://i.scdn.co/image/f95935461bce5ff290d78e0bc68e8b1ffe8192b7","https://i.scdn.co/image/2411d343e421b84e68a155a9fa6de1b87243a1f9","https://i.scdn.co/image/77b344205e5e42ab6ef4fd3fa6759ab4528ee2ea","https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806",,
Black,"https://i.scdn.co/image/a55b588c9ab87ecfc8181dcc7a40e0e02b9cda39","https://i.scdn.co/image/ed8b619e4f46507aad2b6337dc287c15e726a997","https://i.scdn.co/image/d3597aeaec7d2b295bfcafd4f9e469788f698370","https://i.scdn.co/image/04ccb28b0602fe535f0ddb2cc82396c4a65ec4a4","https://i.scdn.co/image/46452be8110d1885a917391230e6d89efdc0069c","https://i.scdn.co/image/f06f0658ccc185e6e884fe4af76b217c4fe478c7","https://i.scdn.co/image/85236cc12312fac9405206c25bd38479e63a04d6","https://i.scdn.co/image/3edb3f970f4a3af9ef922efd18cdb4dabaf85ced","https://i.scdn.co/image/b1400eb570c33eaad30cedfff58cabf9ccddd33c","https://i.scdn.co/image/5e49036d2121a0e78c88b6cee6d4c7ede65045c3","https://i.scdn.co/image/b83dd31f940cb5e1368a2dbb2a394555dafd9669","https://i.scdn.co/image/abad7de9b2050022d87056fa4719b8a0685dcefb","https://i.scdn.co/image/23f0e53e68858fe25ab574eca5821849496b45d4","https://i.scdn.co/image/8418feeea3f710b77cac4630b1a65fffd384c3b2","https://i.scdn.co/image/1ed64355c2251642234fbee9bf3288e706b39b85","https://i.scdn.co/image/13aea93009cca6816f5a37919bb48c91b857bcd7","https://i.scdn.co/image/570650cb379f86234d2ad10bd7a443327979bc9d","https://i.scdn.co/image/a38fa4e806f58470a4c0a899f79f1c49e9299be0","https://i.scdn.co/image/1ee6724d8dccf28731d166dd3ab04efb51691388","https://i.scdn.co/image/4ccbd042736d2ff4a4a5dab6131c075d1af0592b","https://i.scdn.co/image/5e883703e963abb6e59f73f4a24531950c6fefe2",,
White,"https://i.scdn.co/image/afa7b61787f4ae5ea245b927aa301ab3a1f263c7","https://i.scdn.co/image/f3c41c44d3029ee3405f09caa53b7e9a02afdb50","https://i.scdn.co/image/8309ef0d95d908f7a2f2d1f74d2c9599c91dbf37","https://i.scdn.co/image/8bc868f685bffbef1e10da37b879e19022f713c7","https://i.scdn.co/image/61fbfc12c92752d2334547c00d5f13b8b7edba94","https://i.scdn.co/image/85ad2f58633be509d371f2ebda235c07fdd5a08e","https://i.scdn.co/image/78e31602bfc355d370a1a66e759d4bcaff569802","https://i.scdn.co/image/62aa3d25d089016439a0e913b31edee701c303ba","https://i.scdn.co/image/4417452a6583e545a0347d2d30c3a8acf80c0f3d","https://i.scdn.co/image/7a8bb797da6d4c6c8b627135500a9db44a38f58f","https://i.scdn.co/image/5c77c792b83fe91d8023c03402573f4af9e53911","https://i.scdn.co/image/a635106f337f4216c7c05f72e43aac71c89c9d77","https://i.scdn.co/image/8efb25315084d6a01748deb0af455fa154775bda","https://i.scdn.co/image/a1eccc5f4b2158ed8c021ca5aaec245c87f300eb","https://i.scdn.co/image/3940f913ccce17427997580436845359f85c7634",,,,,,,,
Beige,"https://i.scdn.co/image/9cd26531727df1f8e4493328f7b583a9749e33bc","https://i.scdn.co/image/4d8256cad24fce3afd07d4a3d21d379f00388dfc","https://i.scdn.co/image/6c3362dd3cc2c87601373199a61d447ae9ff98d1","https://i.scdn.co/image/c40b6dd66cefc65a9c6baf36376d6b07c272db26","https://i.scdn.co/image/84215dac3aff5e7060cbb1209fc63ba62f80a8d9","https://i.scdn.co/image/3eb791d6c7ffc4aedf1bb71802e1e07f7900c290","https://i.scdn.co/image/b87926dd8d34d7760d2b551e141129ae53709287",,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/1b17b41f4e75287ab68c4290026594d94ab015ab","https://i.scdn.co/image/967089a394a33b98836be3412f8ebf43f135628c","https://i.scdn.co/image/d989d1f2ec8067eb1a256370386a56bd22861378","https://i.scdn.co/image/5bd30bbccf96650daed5fd39dc67ce3a36492914","https://i.scdn.co/image/3395afb09e418b2b3173be4a09ca76e8550de110","https://i.scdn.co/image/19f073cb51144a11f4275133f1cc0bfc8990a770","https://i.scdn.co/image/7d42ad03f17b86b83c38e135a66cfc78adf42f0c","https://i.scdn.co/image/de9439753c53cb26080405f7310c9b17565f8b9c","https://i.scdn.co/image/272c8679a23e1c92b17c176f5470e9c2eca3e4bc","https://i.scdn.co/image/594340fd535de088674b20df30f1cc8d4cec8640","https://i.scdn.co/image/d0cd8c42f2816b208641d030f809d155a7484756","https://i.scdn.co/image/964e87f80e22f2cd1545c23ee9cde663fadf049d","https://i.scdn.co/image/f55a6b339d3a4d4fc3a624d77f7ecb1c64930c99","https://i.scdn.co/image/b948e88ba7f9ba4e471cf955d2e11241c268a765","https://i.scdn.co/image/17389ebe9eb4c57cb14aa970cdeb60c214bbb58a","https://i.scdn.co/image/679472c6c90c259f3ed625bfa495b5a202d60e66","https://i.scdn.co/image/1b2dea302aea0f4aba76f6c13fdd9981db14f050","https://i.scdn.co/image/0c99389f756fa08b8c504ebdcb2b00f906aa9b6c","https://i.scdn.co/image/bf6739da5fde5b1c86ba0576ef7c02ed6d58c2d8","https://i.scdn.co/image/ae67fa6abf93bce85479566effb3ddea6732a284","https://i.scdn.co/image/fe5b2783211d8e93fd4d2d072ea8546de3f43b51",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Winter,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/f6b47def50fc682020af4a528d957a78cf1cbf6a","https://i.scdn.co/image/be1fa6f5bb206680726206edf67eda77a9fa8fa9","https://i.scdn.co/image/0c1f5eb1de4205808e624c18daea8aa51ded6ef8","https://i.scdn.co/image/990f7ee5c06a8d53c89fbf01a8237fd82a5d7580","https://i.scdn.co/image/c6cd5df2da6902111b42a474ee705aa1605ac6c6","https://i.scdn.co/image/19aef00ff423f363d2ba4b0196275336ad343444",,,,,,,,,,,,,,,,,
Orange,"https://i.scdn.co/image/a349cd87ed01dd843176e090e99baf8f1b8d6c4b","https://i.scdn.co/image/546630738b67fb49b5f718b383bfaf34d4657fb6","https://i.scdn.co/image/b8e654b7154a051c6634343cbfa2c6897b95b52b","https://i.scdn.co/image/9332a97ae7acef6bff044a6e9091ef8028f8d798","https://i.scdn.co/image/ba0ae54525d7bf50cdbd298247b553b4bc84b66d",,,,,,,,,,,,,,,,,,
Yellow,"https://i.scdn.co/image/4c7354a253e562d95a434b9ed223ea56cdf50b50","https://i.scdn.co/image/bf18ebc5435158531a3d40ddb017d2a56cf97773","https://i.scdn.co/image/876905d8e8a98327bf513da920354ca1c74a92c5","https://i.scdn.co/image/2589dbca13f8ee6fd169af387bcfc34af23bc49e",,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/f5fc37ae229be515523748feb463c5e6224762eb","https://i.scdn.co/image/845db84c798401f4f4d141aa1e1a5d7ad8df2aa0","https://i.scdn.co/image/d5725eb974d195decc6f92a9afae71741e59c7d2","https://i.scdn.co/image/f0ec5eae65750afb2bdb4af2cf1d9af65b92380a","https://i.scdn.co/image/91b56bd84b936a08561ff8f882d1a255d89b39c5","https://i.scdn.co/image/ca9bd579bc5785e39e902af111aa8b278d11c732","https://i.scdn.co/image/f2446546e6bc1d2ad8ffe07d473e9b94292825e8","https://i.scdn.co/image/335b7917c67709c67fe3289ee8fba4715a0166ed","https://i.scdn.co/image/a59b95f1ff9f23eb310ba9ce685845fddd1f1e69","https://i.scdn.co/image/74e48ed03a404006db2b7557932575929532a389",,,,,,,,,,,,,
Blue,"https://i.scdn.co/image/621d2909bcc2c26cd0b274aab0414c9d422a1576","https://i.scdn.co/image/559108cb16ce2ed5284c0f75d85ed28cf6e7e308","https://i.scdn.co/image/89b09a02d233c0ebc71835be46df0bbd628bdcf2","https://i.scdn.co/image/b810ef230bb0c3c355a5f6f7e6892bfefb11ec98","https://i.scdn.co/image/5281fb40593e18fcacb40daac1d455dc1777e072","https://i.scdn.co/image/8a26ae609b3454ae57066f0a6a3f673fbdfbb159","https://i.scdn.co/image/f96947dffe790a60fdf7f2a88549dc4c6f28fcef",,,,,,,,,,,,,,,,
Purple,"https://i.scdn.co/image/9cba1d4641a492adadb2398241a6a6a85845b6f9","https://i.scdn.co/image/f894e6330b6e4d5d7ae46808415053046fb2de9f",,,,,,,,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/c70bfcfb1ddf7ba5243168f1ddcd64810f3984b7","https://i.scdn.co/image/ac67348c1ab4edb4a8d407d934e63fc5ecb4f749",,,,,,,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/1cae736c9abec88ea7b0eaf0c4d45e245b256182","https://i.scdn.co/image/b8e654b7154a051c6634343cbfa2c6897b95b52b","https://i.scdn.co/image/71e6a72a1b3a00d2ddabee9a3e2d5ade3be25409","https://i.scdn.co/image/87d0b1856d2c2ce55fdb4c8129e47a6df6f33aff","https://i.scdn.co/image/9affba3a27e466802de664fa5688d3bbf95e8b24","https://i.scdn.co/image/30cfe67f0ba70692cf6eb2e684f6a99c895a3116","https://i.scdn.co/image/e951564296a9823a67147608aeab8cf821a7d16f","https://i.scdn.co/image/660849fa669b8fd072487d557e39232ffdd64479","https://i.scdn.co/image/4a89ad77ad125b999a722a5f2e3a99e3337b09c3","https://i.scdn.co/image/73d68bd865f6f95ee762b3467fbb7cee873e2d21","https://i.scdn.co/image/8598dd87ca83d963fb9c6295f42ebb883fbfd93f","https://i.scdn.co/image/99c302a42b72e9270474d967d80b473e76cbc46b","https://i.scdn.co/image/820cb27919c00df60a944e36110e461e87cfc6bf","https://i.scdn.co/image/17e68a2e03de74a114bf6609d69f9bdbf6029f70","https://i.scdn.co/image/73fb1de575a85db765a1c6c928f81a38d0db03aa","https://i.scdn.co/image/31b0a579225a718b4b1aea0ac6f9e9bdd3da17b0","https://i.scdn.co/image/80a1ff1574dbbd1d5a722b03395df8e5b9d41ab4","https://i.scdn.co/image/48703d59cc5e093a33b2d53423f607ecb1a9402a","https://i.scdn.co/image/0f56b625cbf124a727612027a1c69f5a53df9bd1",,,,
Black,"https://i.scdn.co/image/c78fb1b0f928d132993fdf823d96dd72c134d873","https://i.scdn.co/image/f491552bd6193c4622f1b4235bdf8179911ed1b0","https://i.scdn.co/image/9b312163180f5adb5901ba8ab8b1b25fd0740d66","https://i.scdn.co/image/fdcbc520c716e691daab5b0d9a10d321a6df8760","https://i.scdn.co/image/994e93b899e98f9c3d27b5ff49c7feb11467ebea","https://i.scdn.co/image/dcdbaf864f35cb4fdba68f82f5fe66c73f1d11a4","https://i.scdn.co/image/5d2a8804d7c77e2897a6e0c2b2629adce91b8ceb","https://i.scdn.co/image/3049c703cc49fec78697cbe9816ea4c6c41ceab9","https://i.scdn.co/image/3ae4a2a9a3db9b5532acccf179add53ac198b67b","https://i.scdn.co/image/a63874bbc08bf43550fba15e0d931c8b5b4ba283","https://i.scdn.co/image/9dd12785d3e55addf458042ae4ff29269ebfbbf8","https://i.scdn.co/image/bae9d32d173070c30381b96b3dd9e2ab258d999d","https://i.scdn.co/image/f06905ca417c6694fd012ba4283a33d04a7d6a6e","https://i.scdn.co/image/eb97e6eb739f539a6eca14bde45cd6a4db75afdd","https://i.scdn.co/image/c5c2bb20e986ff31dc14d08a1b4133a710d183c4","https://i.scdn.co/image/f56f23cbd3783f8594a4871ca0424ffb9de7a5cd","https://i.scdn.co/image/15de4cf91829285eaad10986a8e339906a69283c","https://i.scdn.co/image/6e58af4c7567f22282f5de154a4d68d7f27d8bb0","https://i.scdn.co/image/506b3aee8a743d125460453499a56cb64e5a43ec","https://i.scdn.co/image/f5ac81c0b2de2d03ad61e94e32555d0c9f25e31a","https://i.scdn.co/image/c84a28f089032c495cdf7c2ef90eee331a84842c",,
White,"https://i.scdn.co/image/2c5e6aad21d5588d820a72b62821be77f1250032","https://i.scdn.co/image/1c01cacb804a6e87ab16aa6d7052cca302f5c02e","https://i.scdn.co/image/40cb3467207001433913134447bc978c2d424d10","https://i.scdn.co/image/84c00681f2040bafb1cc87bc0b06d766f5e56e63","https://i.scdn.co/image/b4f5bf11d665ee11a9b7cffcdc1487489826d4df","https://i.scdn.co/image/3f2aab0b3738849b998616ed8a12e4bb5bb4c86c","https://i.scdn.co/image/24e00b5940ea9e66f689013cb973ac5161443c44","https://i.scdn.co/image/5548ac701deaf64c22e0ebef9ed0eb47ff802085","https://i.scdn.co/image/cf776ac0a373c59a77d5d158a7c415a3ddc2d5ad","https://i.scdn.co/image/4044c3bdc55263cf7a3fc8acaf55df1e60e57b8a","https://i.scdn.co/image/df336667c74abdfe56835e54712cdea8acc55814","https://i.scdn.co/image/1bc4f7848230cfefd8a37eb5dbc4cab888cea574",,,,,,,,,,,
Beige,"https://i.scdn.co/image/66f808e859993f0100fea78f37462ea8925f9ec2","https://i.scdn.co/image/6212b0659d60bdd9b10ccd5976759e820fe9c864","https://i.scdn.co/image/1c87b0ac6f0cd837dc399d52bab96134442547ea",,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/98c7d8c389e7a7699121c93be8f79f21da5904a8","https://i.scdn.co/image/248cf4c43a09393cf6f63ed137e6a8e20eb7e119","https://i.scdn.co/image/71ad0ca4643ae8ecbb4e80a64641823bcad7e625","https://i.scdn.co/image/c050bd363e83a1e285f3249ae34f43e445c0cd6f","https://i.scdn.co/image/fa44b468373c4eae58e070a9ca7b38f7e126626c","https://i.scdn.co/image/e4d437831cccc9967dc92726c59e855ac59d6abd","https://i.scdn.co/image/ceb0ef8b249160088ddcc905d95145a76b41f2ba","https://i.scdn.co/image/4cb7f82b38a318311e2726509577bd5574228556","https://i.scdn.co/image/2251d93f13d12ed6cc066b5177db7cdac572a7ed","https://i.scdn.co/image/927a0b3a207f999eaf94aa1f9b92b8900c95e014","https://i.scdn.co/image/ced9e563b1c1fe9a9ae16ee615e1cc2aac4ae133","https://i.scdn.co/image/4b37c81ce1579532d39ef417141fd883357e6a6d","https://i.scdn.co/image/4344339e1c284eb63b88233b2adaf6d3bc3cde6c","https://i.scdn.co/image/332379c4dc50a1771d8669ea7933ad367026b663","https://i.scdn.co/image/9b4f34d66ccbafe35c794650eb59ebe115d61a0a","https://i.scdn.co/image/77d034ae9ffa7f3752786bb2a72f4be02155afbf","https://i.scdn.co/image/7306577e182cabedfab078922068638154f8b150","https://i.scdn.co/image/96e27d4ed9cb0a7d82e0ca86e407c5d860d1bd5b","https://i.scdn.co/image/9ed6534e737d8336d6480024e50eef9bf74deb47","https://i.scdn.co/image/b40268c402c5eb7808d2d6658f439280393bdc06","https://i.scdn.co/image/aacafa2e22a0668e05c2d6f27fe0afbd532a2c8e",,
